total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
2,Si,Ge,1,1,-84.21964992426555,-5.263728120266597,0.0008062310650123194,0.017640717300271724,0.01376261851970284,-0.2383269895196065
3,Si,Ge,1,2,-123.00311554808039,-5.1251298145033495,0.0025556335122717635,0.017640717300271724,0.01376261851970284,-0.2999924304228898
3,Si,Ge,2,1,-129.54463827788342,-5.397693261578476,0.0036899930691216554,0.017640717300272613,0.01376261851970284,-0.3037925913030506
4,Si,Ge,1,3,-161.78701710852724,-5.055844284641476,0.0034167117161509886,0.017640717300271724,0.013762618519703432,-0.3620938079582743
4,Si,Ge,2,2,-168.32804647778684,-5.260251452430839,0.004282898900770604,0.017640717300272613,0.01376261851970284,-0.3654006082949479
4,Si,Ge,3,1,-174.86966324521936,-5.464676976413105,0.005130729892486752,0.017640717300273206,0.01376261851970284,-0.3692948068046178
5,Si,Ge,1,4,-200.5709025446964,-5.01427256361741,0.003933761745420839,0.017640717300271724,0.01376261851970284,-0.42417906121593774
5,Si,Ge,2,3,-207.11193019147453,-5.177798254786863,0.004626754555153312,0.017640717300272613,0.013762618519703432,-0.42748413907116856
5,Si,Ge,3,2,-213.65310796438382,-5.341327699109596,0.005315994211606778,0.017640717300273206,0.01376261851970284,-0.43093934305753123
5,Si,Ge,4,1,-220.1946965133434,-5.504867412833585,0.0059949644668034095,0.017640717300271724,0.01376261851970284,-0.43480532309422415
6,Si,Ge,1,5,-239.35479616750143,-4.986558253489613,0.004278291210020176,0.017640717300271724,0.013762618519704261,-0.4862725011095108
6,Si,Ge,2,4,-245.89581563409865,-5.122829492377055,0.0048559556385659635,0.017640717300272613,0.01376261851970284,-0.4895693987838001
6,Si,Ge,3,3,-252.43699168044995,-5.259103993342707,0.005430357988902124,0.017640717300273206,0.013762618519703432,-0.4930228762121658
6,Si,Ge,4,2,-258.9781412308692,-5.395377942309775,0.006005312337822606,0.017640717300271724,0.01376261851970284,-0.4964498577084555
6,Si,Ge,5,1,-265.51973247029133,-5.53166109313107,0.006571064832516349,0.017640717300272966,0.01376261851970284,-0.5003185282076856
7,Si,Ge,1,6,-278.1386897903369,-4.966762317684588,0.0045243836841899155,0.017640717300271724,0.013762618519703432,-0.5483659410335235
7,Si,Ge,2,5,-284.6797092569075,-5.083566236730491,0.00501952462342002,0.017640717300272613,0.013762618519704261,-0.5516628386811817
7,Si,Ge,3,4,-291.22087712305955,-5.200372805768921,0.005512015570122486,0.017640717300273206,0.01376261851970284,-0.5551081359103023
7,Si,Ge,4,3,-297.7620249469418,-5.317179016909675,0.0060048644145011465,0.017640717300271724,0.013762618519703432,-0.5585333908695702
7,Si,Ge,5,2,-304.30317718783795,-5.433985306925678,0.006497634383630871,0.017640717300272966,0.01376261851970284,-0.5619630628427785
7,Si,Ge,6,1,-310.84476842885,-5.550799436229464,0.0069825650649771075,0.01764071730027202,0.01376261851970284,-0.5658317349319191
8,Si,Ge,1,7,-316.92258341317086,-4.951915365830795,0.0047089530398407575,0.017640717300271724,0.013762618519703349,-0.6104593809558878
8,Si,Ge,2,6,-323.46360287974295,-5.054118794995984,0.005142201361643561,0.017640717300272613,0.013762618519703432,-0.6137562786051376
8,Si,Ge,3,5,-330.0047707458677,-5.156324542904183,0.0055731309404358775,0.017640717300273206,0.013762618519704261,-0.6172015758069733
8,Si,Ge,4,4,-336.54591038955783,-5.258529849836841,0.006004501494768277,0.017640717300271724,0.01376261851970284,-0.6206186505741584
8,Si,Ge,5,3,-343.08706090391536,-5.3607353266236775,0.006435702194923065,0.017640717300272966,0.013762618519703432,-0.6240465960087249
8,Si,Ge,6,2,-349.62821314639547,-5.462940830412429,0.006866875893162483,0.01764071730027202,0.01376261851970284,-0.6274762695658751
8,Si,Ge,7,1,-356.1698043874109,-5.565153193553296,0.007291190239287593,0.01764071730027236,0.01376261851970284,-0.6313449416584263
9,Si,Ge,1,8,-355.706477036005,-4.940367736611181,0.004852506983122377,0.017640717300271724,0.013762618519703729,-0.6725528208783658
9,Si,Ge,2,7,-362.2474965025769,-5.031215229202457,0.005237616602505411,0.017640717300272613,0.013762618519703349,-0.6758497185275587
9,Si,Ge,3,6,-368.7886643687032,-5.122064782898656,0.005620665116965363,0.017640717300273206,0.013762618519703432,-0.6792950157310429
9,Si,Ge,4,5,-375.32980401236597,-5.212913944616194,0.006004105610086204,0.017640717300271724,0.013762618519704261,-0.6827120904708295
9,Si,Ge,5,4,-381.87094634653175,-5.30376314370183,0.006387508735108898,0.017640717300272966,0.01376261851970284,-0.6861318557136542
9,Si,Ge,6,3,-388.412096862473,-5.394612456423236,0.006770798224361564,0.01764071730027202,0.013762618519703432,-0.6895598027318783
