multiplier_x,multiplier_y,multiplier_z,energy_per_atom,formation_energy
generated-1-1-1-1,1,1,-5.273538206309895, -0.009584025581717448
generated-1-2-1-1,1,1,-5.261654473849865, 0.0022997068783121577
generated-1-3-1-1,1,1,-5.2579233594384895, 0.006030821289687793
generated-2-1-1-1,1,1,-5.261654473849876, 0.0022997068783014996
generated-2-2-1-1,1,1,-5.25623676889045, 0.007717411837727006
generated-2-3-1-1,1,1,-5.252867043421418, 0.011087137306759587
generated-3-1-1-1,1,1,-5.258017349676686, 0.0059368310514908325
generated-3-2-1-1,1,1,-5.251123058815496, 0.012831121912680769
generated-3-3-1-1,1,1,-5.246517518661908, 0.017436662066269953
generated-4-1-1-1,1,1,-5.255096588919615, 0.008857591808562049
generated-4-2-1-1,1,1,-5.246274741871435, 0.01767943885674228
generated-4-3-1-1,1,1,-5.24283685968871, 0.021117321039467285
generated-5-1-1-1,1,1,-5.251929542853594, 0.012024637874584186
generated-5-2-1-1,1,1,-5.244014423500557, 0.019939757227620248
generated-5-3-1-1,1,1,-5.241330407904632, 0.022623772823544643
