multiplier,lattice_constant,energy,energy_per_atom,strain_energy,strain_energy_per_atom
1.1,5.988072610233399,-42.91028509152304,-5.36378563644038,2.485096268756614,0.31063703359457673
1.09,5.933635586504004,-43.437017914628385,-5.429627239328548,1.9583634456512726,0.24479543070640908
1.08,5.87919856277461,-43.85470108989236,-5.481837636236545,1.5406802703872984,0.1925850337984123
1.07,5.824761539045214,-44.17768590704227,-5.522210738380283,1.2176954532373898,0.15221193165467373
1.06,5.77032451531582,-44.44707959368528,-5.55588494921066,0.9483017665943763,0.11853772082429703
1.05,5.715887491586425,-44.69094524038941,-5.586368155048676,0.7044361198902465,0.08805451498628081
1.04,5.661450467857031,-44.90968626429989,-5.613710783037487,0.48569509597976435,0.06071188699747054
1.03,5.607013444127636,-45.09581597823771,-5.636976997279714,0.2995653820419477,0.037445672755243464
1.02,5.552576420398242,-45.24143566543859,-5.655179458179823,0.15394569484107024,0.01924321185513378
1.01,5.498139396668847,-45.34243094291909,-5.667803867864886,0.05295041736057016,0.00661880217007127
1.0,5.443702372939453,-45.39538136027966,-5.674422670034957,0.0,0.0
0.99,5.389265349210058,-45.39655625147819,-5.6745695314347735,-0.0011748911985307586,-0.00014686139981634483
0.98,5.334828325480664,-45.33996797107404,-5.667495996384255,0.05541338920561856,0.00692667365070232
0.97,5.280391301751269,-45.2149384619198,-5.651867307739975,0.18044289835985694,0.022555362294982118
0.96,5.225954278021875,-45.01057311612795,-5.626321639515994,0.38480824415170645,0.048101030518963306
0.95,5.17151725429248,-44.7145696988088,-5.5893212123511,0.6808116614708553,0.08510145768385691
0.94,5.117080230563086,-44.31491691215814,-5.539364614019767,1.0804644481215178,0.13505805601518972
0.93,5.062643206833691,-43.802703702944626,-5.475337962868078,1.592677657335031,0.19908470716687887
0.92,5.0082061831042965,-43.17077855881417,-5.396347319851771,2.224602801465487,0.27807535018318585
0.91,4.953769159374902,-42.41216757085452,-5.301520946356815,2.983213789425136,0.372901723678142
0.9,4.8993321356455075,-41.51705498422822,-5.189631873028527,3.87832637605144,0.48479079700643
