multiplier,lattice_constant,energy,energy_per_atom,strain_energy,strain_energy_per_atom
1.1,5.973,-43.066313008874396,-5.383289126109299,2.3346122129986853,0.29182652662483566
1.09,5.9187,-43.56266110466517,-5.445332638083146,1.8382641172079133,0.22978301465098916
1.08,5.8644,-43.95035505739267,-5.493794382174084,1.4505701644804105,0.18132127056005132
1.07,5.8101,-44.25381549222715,-5.531726936528393,1.1471097296459334,0.14338871620574167
1.06,5.7558,-44.514464736761475,-5.564308092095184,0.8864604851116056,0.1108075606389507
1.05,5.7015,-44.751460124016575,-5.593932515502072,0.6494650978565062,0.08118313723206327
1.04,5.6472,-44.962019917289794,-5.620252489661224,0.4389053045832867,0.05486316307291084
1.03,5.5929,-45.13762385130439,-5.642202981413049,0.26330137056869063,0.03291267132108633
1.02,5.5386,-45.27173513155934,-5.658966891444917,0.12919009031374173,0.016148761289217717
1.01,5.4843,-45.3605737638106,-5.670071720476325,0.04035145806248153,0.005043932257810191
1.0,5.43,-45.40092522187308,-5.675115652734135,0.0,0.0
0.99,5.375699999999999,-45.38842803922869,-5.673553504903587,0.01249718264438826,0.0015621478305485326
0.98,5.3214,-45.31584151981807,-5.664480189977259,0.08508370205500881,0.010635462756876102
0.97,5.267099999999999,-45.17280634314252,-5.646600792892815,0.22811887873056236,0.028514859841320295
0.96,5.2128,-44.94780964451401,-5.618476205564251,0.45311557735907115,0.056639447169883894
0.95,5.158499999999999,-44.62874642308419,-5.5785933028855235,0.7721787987888931,0.09652234984861163
0.94,5.1042,-44.20437597976657,-5.525546997470821,1.1965492421065136,0.1495686552633142
0.93,5.0499,-43.665872389753474,-5.458234048719184,1.7350528321196066,0.21688160401495082
0.92,4.9956,-43.00657847248161,-5.375822309060201,2.394346749391474,0.29929334367393423
0.91,4.9413,-42.21957014824682,-5.277446268530852,3.181355073626264,0.397669384203283
0.9,4.887,-41.29396078896312,-5.16174509862039,4.106964432909962,0.5133705541137452
